,step,err_rate,y0
0,0.0,5.723692417144775,0.036144014447927475
1,100.0,3.017688512802124,0.507476270198822
2,200.0,6.2242231369018555,0.9644889235496521
3,300.0,4.418263912200928,1.3927028179168701
4,400.0,9.124324798583984,1.7683099508285522
5,500.0,1.0046069622039795,2.1275482177734375
6,600.0,0.047317132353782654,2.4413459300994873
7,700.0,0.11268350481987,2.740253210067749
8,800.0,0.19501154124736786,3.021359920501709
9,900.0,0.00983535498380661,3.279102087020874
10,1000.0,0.025554409250617027,3.4911718368530273
11,1100.0,0.04062781482934952,3.691964864730835
12,1200.0,0.01716778241097927,3.8512659072875977
13,1300.0,0.061296310275793076,4.004066467285156
14,1400.0,0.009132931008934975,4.136709213256836
15,1500.0,0.0030891841743141413,4.240413188934326
16,1600.0,0.02507675066590309,4.316786766052246
17,1700.0,0.004517383873462677,4.39238977432251
18,1800.0,0.0023651395458728075,4.446928977966309
19,1900.0,0.0026719060260802507,4.490687847137451
20,2000.0,0.003033750457689166,4.526032447814941
