,err_rate_mean,err_rate_std,y0_mean,y0_std
0.0,6.306821864843369,3.980611310856093,0.24448738023638725,0.16830356374811137
100.0,3.02801251411438,1.3856362446982184,0.7166830539703369,0.1656913967208553
200.0,4.780367803573609,1.2320490342437198,1.165706503391266,0.16132738172567762
300.0,2.656548023223877,1.0178263116901924,1.5795628070831298,0.16389852744691844
400.0,6.418958473205566,1.8029644648991527,1.9566048383712769,0.16307784985429463
500.0,0.4986369386315346,0.3670927894258489,2.300590705871582,0.15154391867946232
600.0,0.188998843729496,0.1408026870438018,2.61589937210083,0.14750164214430456
700.0,0.24970209188759326,0.2630747389048549,2.907368230819702,0.14015704870616327
800.0,0.19907411187887192,0.11346921164363191,3.1713725090026856,0.1300174075974907
900.0,0.2919085308909416,0.2558971173807641,3.4018346309661864,0.1242468627503107
1000.0,0.11546181384474039,0.12414459787915175,3.6175413131713867,0.11229212236279365
1100.0,0.16682366672903298,0.12602483529269723,3.8015256404876707,0.09695541813538308
1200.0,0.1258473414927721,0.127671891577854,3.9485965728759767,0.08243788435175112
1300.0,0.10935363285243511,0.08454994123608338,4.08391170501709,0.07201185176079135
1400.0,0.01962831923738122,0.017642252878535835,4.193555068969727,0.05791227960785289
1500.0,0.029602275276556612,0.02912013726531088,4.280866432189941,0.047314826782059345
1600.0,0.028582724928855895,0.022449627166413383,4.356500911712646,0.040446790060257025
1700.0,0.03587819561362267,0.03294075544380055,4.421250247955323,0.0299553053634613
1800.0,0.04770039990544319,0.04716968606923817,4.468112564086914,0.021085790527553726
1900.0,0.09939057254232467,0.06921418823583293,4.50446138381958,0.019807536264635286
2000.0,0.18493070318363608,0.16346658920403911,4.5322568893432615,0.01569286829887722
