,step,err_rate,y0
0,0.0,8.291501998901367,0.5469544529914856
1,100.0,4.125164985656738,1.0135990381240845
2,200.0,5.250673770904541,1.4534785747528076
3,300.0,2.006169080734253,1.874093770980835
4,400.0,6.587194442749023,2.2479264736175537
5,500.0,0.30459997057914734,2.5752475261688232
6,600.0,0.41801661252975464,2.881605625152588
7,700.0,0.15929317474365234,3.156383514404297
8,800.0,0.4013025164604187,3.403923511505127
9,900.0,0.16801245510578156,3.6276566982269287
10,1000.0,0.21762891113758087,3.8204240798950195
11,1100.0,0.3146238923072815,3.977691411972046
12,1200.0,0.3719930052757263,4.092151165008545
13,1300.0,0.2574608027935028,4.213123798370361
14,1400.0,0.0377194844186306,4.298331260681152
15,1500.0,0.01815292052924633,4.366132736206055
16,1600.0,0.00815978366881609,4.425333023071289
17,1700.0,0.060552921146154404,4.4757513999938965
18,1800.0,0.03668076545000076,4.506999492645264
19,1900.0,0.09133561700582504,4.543169975280762
20,2000.0,0.16437382996082306,4.562375545501709
