,step,err_rate,y0
0,0.0,5.323973178863525,42.57422637939453
1,100.0,0.9733769297599792,43.36115264892578
2,200.0,0.4659735858440399,44.11259078979492
3,300.0,0.44694867730140686,44.84540557861328
4,400.0,0.2856511175632477,45.556278228759766
5,500.0,0.15045559406280518,46.241004943847656
6,600.0,0.12880690395832062,46.88758087158203
7,700.0,0.12485626339912415,47.49458312988281
8,800.0,0.09671208262443542,48.073036193847656
9,900.0,0.12887749075889587,48.656898498535156
10,1000.0,0.1190175861120224,49.20405960083008
11,1100.0,0.07789506763219833,49.71379089355469
12,1200.0,0.08117888867855072,50.19928741455078
13,1300.0,0.08845718950033188,50.66754913330078
14,1400.0,0.07790772616863251,51.09910583496094
15,1500.0,0.09049943834543228,51.529205322265625
16,1600.0,0.05805865675210953,51.96604919433594
17,1700.0,0.06329715251922607,52.40736389160156
18,1800.0,0.07320503145456314,52.78205490112305
19,1900.0,0.07504794746637344,53.134517669677734
20,2000.0,0.06917805969715118,53.47972869873047
21,2100.0,0.055517926812171936,53.786739349365234
22,2200.0,0.05355753004550934,54.11594772338867
23,2300.0,0.049884598702192307,54.40311813354492
24,2400.0,0.07033275812864304,54.687862396240234
25,2500.0,0.050077810883522034,54.94918441772461
26,2600.0,0.05021923407912254,55.167720794677734
27,2700.0,0.09283792227506638,55.40068817138672
28,2800.0,0.052224691957235336,55.607765197753906
29,2900.0,0.06841995567083359,55.79549789428711
30,3000.0,0.04902244731783867,55.93850326538086
31,3100.0,0.06270661950111389,56.09208679199219
32,3200.0,0.044225651770830154,56.22604751586914
33,3300.0,0.047837939113378525,56.35123062133789
34,3400.0,0.04582750052213669,56.460235595703125
35,3500.0,0.045893680304288864,56.57797622680664
36,3600.0,0.047411154955625534,56.6609992980957
37,3700.0,0.050686854869127274,56.75090026855469
38,3800.0,0.0413363017141819,56.813133239746094
39,3900.0,0.04222113639116287,56.883018493652344
40,4000.0,0.05745600163936615,56.941749572753906
